
Smileys and people

✍🏽; Writing hand; U+270D U+1F3FD; UTF-8: E2 9C 8D F0 9F 8F BD
✍🏾; Writing hand; U+270D U+1F3FE; UTF-8: E2 9C 8D F0 9F 8F BE
✍🏿; Writing hand; U+270D U+1F3FF; UTF-8: E2 9C 8D F0 9F 8F BF
💅; Nail polish; U+1F485; UTF-8: F0 9F 92 85
💅🏻; Nail polish; U+1F485 U+1F3FB; UTF-8: F0 9F 92 85 F0 9F 8F BB
💅🏼; Nail polish; U+1F485 U+1F3FC; UTF-8: F0 9F 92 85 F0 9F 8F BC
💅🏽; Nail polish; U+1F485 U+1F3FD; UTF-8: F0 9F 92 85 F0 9F 8F BD
💅🏾; Nail polish; U+1F485 U+1F3FE; UTF-8: F0 9F 92 85 F0 9F 8F BE
💅🏿; Nail polish; U+1F485 U+1F3FF; UTF-8: F0 9F 92 85 F0 9F 8F BF
👄; Mouth; U+1F444; UTF-8: F0 9F 91 84
👅; Tongue; U+1F445; UTF-8: F0 9F 91 85
👂; Ear; U+1F442; UTF-8: F0 9F 91 82
👂🏻; Ear; U+1F442 U+1F3FB; UTF-8: F0 9F 91 82 F0 9F 8F BB
👂🏼; Ear; U+1F442 U+1F3FC; UTF-8: F0 9F 91 82 F0 9F 8F BC
👂🏽; Ear; U+1F442 U+1F3FD; UTF-8: F0 9F 91 82 F0 9F 8F BD
👂🏾; Ear; U+1F442 U+1F3FE; UTF-8: F0 9F 91 82 F0 9F 8F BE
👂🏿; Ear; U+1F442 U+1F3FF; UTF-8: F0 9F 91 82 F0 9F 8F BF
👃; Nose; U+1F443; UTF-8: F0 9F 91 83
👃; Nose; U+1F443; UTF-8: F0 9F 91 83
👃🏻; Nose; U+1F443 U+1F3FB; UTF-8: F0 9F 91 83 F0 9F 8F BB
👃🏼; Nose; U+1F443 U+1F3FC; UTF-8: F0 9F 91 83 F0 9F 8F BC
👃🏽; Nose; U+1F443 U+1F3FD; UTF-8: F0 9F 91 83 F0 9F 8F BD
👃🏾; Nose; U+1F443 U+1F3FE; UTF-8: F0 9F 91 83 F0 9F 8F BE
👃🏿; Nose; U+1F443 U+1F3FF; UTF-8: F0 9F 91 83 F0 9F 8F BF
👁; Eye; U+1F441; UTF-8: F0 9F 91 81
👀; Eyes; U+1F440; UTF-8: F0 9F 91 80
👤; Bust in silhouette; U+1F464; UTF-8: F0 9F 91 A4
👥; Busts in silhouette; U+1F465; UTF-8: F0 9F 91 A5
🗣; Speaking head in silhouette; U+1F5E3; UTF-8: F0 9F 97 A3
